iter	Passed	Remaining
0	59	59178
1	59	29730
2	59	19908
3	60	14995
4	60	12050
5	60	10081
6	61	8677
7	61	7621
8	61	6812
9	62	6164
10	62	5627
11	62	5180
12	63	4803
13	63	4482
14	63	4199
15	64	3950
16	64	3731
17	64	3535
18	65	3366
19	65	3208
20	65	3063
21	65	2933
22	66	2814
23	66	2707
24	66	2607
25	67	2514
26	67	2431
27	67	2351
28	68	2277
29	68	2209
30	68	2150
31	69	2097
32	69	2040
33	69	1986
34	70	1936
35	70	1888
36	70	1843
37	71	1801
38	71	1762
39	71	1723
40	72	1687
41	72	1652
42	72	1618
43	73	1586
44	73	1555
45	73	1525
46	73	1498
47	74	1471
48	74	1445
49	74	1420
50	75	1396
51	75	1372
52	75	1350
53	75	1329
54	76	1308
55	76	1289
56	76	1270
57	77	1251
58	77	1235
59	77	1217
60	78	1200
61	78	1184
62	78	1169
63	78	1153
64	79	1138
65	79	1124
66	79	1110
67	79	1096
68	80	1082
69	80	1069
70	80	1056
71	81	1044
72	81	1032
73	81	1020
74	81	1008
75	82	997
76	82	988
77	82	980
78	83	972
79	83	963
80	84	953
81	84	943
82	84	932
83	84	923
84	84	914
85	85	906
86	85	898
87	85	889
88	86	881
89	86	874
90	86	866
91	86	858
92	87	850
93	87	843
94	87	836
95	88	829
96	88	822
97	88	816
98	89	810
99	89	805
100	89	799
101	90	792
102	90	786
103	90	783
104	91	779
105	91	773
106	92	770
107	92	765
108	92	760
109	93	754
110	93	749
111	93	744
112	94	739
113	94	735
114	94	730
115	95	727
116	95	723
117	96	719
118	96	715
119	97	711
120	97	711
121	99	717
122	100	714
123	100	710
124	100	706
125	101	701
126	101	696
127	102	695
128	102	692
129	102	689
130	103	685
131	103	683
132	104	680
133	105	684
134	106	680
135	106	677
136	107	674
137	107	671
138	107	667
139	108	665
140	108	663
141	109	659
142	109	656
143	109	653
144	110	651
145	111	649
146	111	647
147	112	647
148	114	652
149	114	651
150	115	648
151	115	646
152	116	643
153	116	641
154	117	639
155	117	637
156	118	637
157	119	634
158	120	638
159	121	637
160	121	633
161	121	630
162	122	627
163	122	625
164	123	622
165	123	620
166	123	617
167	124	615
168	124	613
169	125	611
170	125	609
171	126	607
172	126	605
173	127	604
174	128	604
175	129	604
176	130	607
177	131	606
178	131	603
179	132	601
180	132	599
181	132	597
182	133	594
183	133	592
184	133	589
185	134	587
186	134	585
187	134	582
188	135	580
189	135	577
190	135	575
191	136	572
192	136	569
193	136	567
194	136	565
195	137	562
196	137	560
197	137	558
198	138	556
199	138	554
200	138	551
201	139	550
202	139	547
203	139	545
204	140	543
205	140	541
206	140	539
207	142	543
208	143	542
209	143	541
210	144	539
211	144	538
212	145	536
213	145	534
214	145	532
215	146	530
216	146	528
217	146	526
218	147	524
219	147	522
220	147	520
221	147	518
222	148	516
223	148	514
224	148	512
225	148	510
226	149	508
227	149	506
228	149	504
229	149	502
230	150	500
231	150	498
232	150	496
233	150	494
234	151	492
235	151	490
236	151	488
237	151	486
238	152	484
239	152	482
240	152	481
241	153	479
242	153	477
243	153	475
244	153	474
245	154	472
246	154	470
247	154	469
248	155	467
249	155	465
250	155	464
251	155	462
252	156	461
253	156	459
254	156	458
255	157	457
256	157	456
257	158	455
258	158	453
259	158	452
260	159	450
261	159	448
262	159	447
263	159	445
264	160	444
265	160	443
266	160	441
267	161	439
268	161	438
269	161	437
270	161	435
271	162	434
272	162	433
273	163	432
274	163	431
275	164	430
276	164	429
277	165	429
278	165	428
279	165	426
280	166	425
281	166	424
282	166	422
283	167	421
284	167	420
285	167	418
286	168	417
287	168	416
288	168	414
289	168	413
290	169	412
291	169	411
292	169	409
293	170	408
294	170	407
295	170	406
296	171	405
297	172	405
298	172	405
299	173	404
300	173	403
301	174	403
302	174	402
303	175	401
304	175	400
305	176	399
306	176	398
307	177	397
308	177	396
309	177	395
310	178	394
311	178	393
312	179	393
313	179	392
314	180	391
315	180	390
316	180	389
317	181	388
318	181	387
319	181	386
320	182	385
321	182	384
322	182	383
323	183	382
324	183	381
325	185	384
326	190	392
327	191	391
328	198	404
329	220	447
330	221	446
331	222	447
332	222	446
333	223	444
334	223	443
335	223	441
336	223	440
337	234	458
338	235	458
339	235	457
340	236	456
341	236	454
342	236	453
343	237	452
344	237	450
345	237	449
346	249	469
347	250	468
348	250	467
349	250	465
350	251	464
351	251	463
352	252	462
353	252	460
354	252	459
355	253	457
356	253	456
357	253	454
358	253	453
359	254	451
360	254	450
361	255	449
362	256	450
363	257	449
364	259	451
365	259	449
366	260	448
367	260	447
368	260	446
369	261	445
370	262	444
371	262	443
372	263	442
373	263	440
374	263	439
375	263	437
376	264	436
377	264	435
378	265	435
379	266	434
380	266	433
381	267	432
382	267	431
383	267	429
384	268	428
385	268	427
386	268	425
387	269	424
388	269	423
389	269	422
390	270	420
391	270	419
392	270	417
393	270	416
394	271	415
395	271	413
396	271	412
397	271	411
398	272	410
399	272	408
400	272	407
401	273	406
402	273	405
403	273	403
404	273	402
405	274	401
406	274	400
407	274	398
408	275	397
409	275	396
410	275	395
411	276	393
412	276	392
413	276	391
414	276	390
415	277	389
416	277	387
417	277	386
418	277	385
419	278	384
420	278	382
421	278	381
422	278	380
423	279	379
424	279	378
425	279	376
426	280	375
427	280	374
428	280	373
429	280	372
430	281	371
431	281	370
432	282	369
433	282	368
434	282	367
435	283	366
436	283	365
437	283	363
438	283	362
439	284	361
440	284	360
441	284	359
442	285	358
443	285	357
444	285	356
445	286	355
446	286	354
447	286	353
448	286	351
449	287	350
450	287	349
451	287	348
452	287	347
453	288	346
454	288	345
455	288	344
456	289	343
457	289	342
458	289	341
459	289	340
460	289	339
461	290	338
462	290	337
463	291	336
464	291	335
465	291	334
466	291	333
467	292	332
468	292	331
469	292	330
470	293	329
471	293	328
472	293	327
473	293	326
474	294	325
475	294	324
476	294	323
477	295	322
478	295	321
479	295	320
480	296	319
481	296	318
482	297	318
483	297	317
484	298	316
485	298	315
486	298	314
487	298	313
488	299	312
489	299	311
490	299	310
491	300	309
492	300	308
493	300	307
494	300	306
495	300	305
496	301	304
497	301	303
498	301	303
499	302	302
500	302	301
501	302	300
502	302	299
503	303	298
504	303	297
505	303	296
506	304	295
507	304	294
508	304	293
509	304	292
510	305	292
511	305	291
512	305	290
513	306	289
